"index","status","product","source","destination","reason"
"1","approved","cream-spray","AI/Крем Спрей 20 в 1/09876543.png","curated_upload/approved/cream-spray/001-09876543.png","Passed visual review: product identity, composition, and anatomy appear usable."
"2","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |1.png","curated_upload/approved/cream-spray/002-Cream Spray 200 ml |1.png","Passed visual review: product identity, composition, and anatomy appear usable."
"3","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |2.png","curated_upload/approved/cream-spray/003-Cream Spray 200 ml |2.png","Passed visual review: product identity, composition, and anatomy appear usable."
"4","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |3.png","curated_upload/approved/cream-spray/004-Cream Spray 200 ml |3.png","Passed visual review: product identity, composition, and anatomy appear usable."
"5","review","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |4.png","curated_upload/review/cream-spray/005-Cream Spray 200 ml |4.png","Near-duplicate shoulder composition; select against image 3."
"6","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |5.jpg","curated_upload/approved/cream-spray/006-Cream Spray 200 ml |5.jpg","Passed visual review: product identity, composition, and anatomy appear usable."
"7","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |6.png","curated_upload/approved/cream-spray/007-Cream Spray 200 ml |6.png","Passed visual review: product identity, composition, and anatomy appear usable."
"8","review","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |7.png","curated_upload/review/cream-spray/008-Cream Spray 200 ml |7.png","Near-duplicate botanical composition; select against image 7."
"9","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |8.png","curated_upload/approved/cream-spray/009-Cream Spray 200 ml |8.png","Passed visual review: product identity, composition, and anatomy appear usable."
"10","review","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |9.png","curated_upload/review/cream-spray/010-Cream Spray 200 ml |9.png","Second dark-background variation; select against image 4."
"11","reject","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |10.png","curated_upload/reject/cream-spray/011-Cream Spray 200 ml |10.png","Exact duplicate of image 3."
"12","review","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |11.png","curated_upload/review/cream-spray/012-Cream Spray 200 ml |11.png","Near-duplicate eucalyptus/linen composition."
"13","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |12.png","curated_upload/approved/cream-spray/013-Cream Spray 200 ml |12.png","Passed visual review: product identity, composition, and anatomy appear usable."
"14","review","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |13.png","curated_upload/review/cream-spray/014-Cream Spray 200 ml |13.png","Near-duplicate leaf-shadow composition; select against image 6."
"15","approved","cream-spray","AI/Крем Спрей 20 в 1/Cream Spray 200 ml |14.png","curated_upload/approved/cream-spray/015-Cream Spray 200 ml |14.png","Passed visual review: product identity, composition, and anatomy appear usable."
"16","approved","cream-spray","AI/Крем Спрей 20 в 1/ima11ge.png","curated_upload/approved/cream-spray/016-ima11ge.png","Passed visual review: product identity, composition, and anatomy appear usable."
"17","approved","cream-spray","AI/Крем Спрей 20 в 1/ima23e.png","curated_upload/approved/cream-spray/017-ima23e.png","Passed visual review: product identity, composition, and anatomy appear usable."
"18","approved","cream-spray","AI/Крем Спрей 20 в 1/ima23ge.png","curated_upload/approved/cream-spray/018-ima23ge.png","Passed visual review: product identity, composition, and anatomy appear usable."
"19","approved","cream-spray","AI/Крем Спрей 20 в 1/ima345678ge.png","curated_upload/approved/cream-spray/019-ima345678ge.png","Passed visual review: product identity, composition, and anatomy appear usable."
"20","approved","cream-spray","AI/Крем Спрей 20 в 1/imag2e.png","curated_upload/approved/cream-spray/020-imag2e.png","Passed visual review: product identity, composition, and anatomy appear usable."
"21","approved","cream-spray","AI/Крем Спрей 20 в 1/imag23e.png","curated_upload/approved/cream-spray/021-imag23e.png","Passed visual review: product identity, composition, and anatomy appear usable."
"22","reject","cream-spray","AI/Крем Спрей 20 в 1/image.png","curated_upload/reject/cream-spray/022-image.png","Exact duplicate of image 16."
"23","approved","cream-spray","AI/Крем Спрей 20 в 1/image234.png","curated_upload/approved/cream-spray/023-image234.png","Passed visual review: product identity, composition, and anatomy appear usable."
"24","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 1.png","curated_upload/approved/lamellar/024-Lamellar Water 200 ml | 1.png","Passed visual review: product identity, composition, and anatomy appear usable."
"25","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 2.png","curated_upload/approved/lamellar/025-Lamellar Water 200 ml | 2.png","Passed visual review: product identity, composition, and anatomy appear usable."
